title,year,genre,actor,imdb_id,kind,matched_by,rating,votes
Altered Carbon,2018,Cyberpunk,"Anthony Mackie,Lela Loren,Simone Missick",2261227,tv series,year and actor match,8.1,135280
3Below: Tales of Arcadia,2018,Action & Adventure Programmes,"Tatiana Maslany,Diego Luna,Nick Offerman",7736544,tv series,year and actor match,7.8,3548
Glow Up,2019,Reality TV,,9680524,tv series,year match,6.4,662
Conversations with a Killer: The Ted Bundy Tapes,2019,Biographical Documentaries,,9425132,tv mini series,year match,7.8,21197
The Trial,2019,Crime TV Dramas,"Vittoria Puccini,Francesco Scianna,Camilla Filippi",10549212,tv series,year and actor match,7,1651
Vampires,2020,French TV Programmes,"Oulaya Amamra,Suzanne Clément,Kate Moran",11829316,tv series,year and actor match,5.4,784
The Forest,2017,Mystery Programmes,"Samuel Labarthe,Suzanne Clément,Alexia Barlier",6560040,tv mini series,year and actor match,7.3,7094
Black Mirror: Bandersnatch,2018,Dramas,"Fionn Whitehead,Will Poulter,Craig Parkinson",9495224,tv movie,year and actor match,7.2,109210
Oh My Ghost,2018,Comedy Programmes,"Nuengthida Sophon,Keerati Mahaprukpong,Arak Amornsupasiri",9048794,tv series,year and actor match,7.2,75
The A List,2018,Mystery Programmes,"Lisa Ambalavanar,Ellie Duckles,Savannah Baker",9185110,tv series,year and actor match,5.3,1407
Blood & Water,2020,Mystery Programmes,"Ama Qamata,Khosi Ngema,Gail Mabalane",9839146,tv series,year and actor match,6.2,1384
Ashley Garcia: Genius in Love,2020,Teen Romance,"Paulina Chávez,Jencarlos Canela",10380934,tv series,year and actor match,6.7,513
The Alcàsser Murders,2019,Biographical Documentaries,,8035424,tv mini series,year match,7.1,1354
Turn Up Charlie,2019,British TV Dramas,"Idris Elba,Piper Perabo,JJ Feild",8304498,tv series,year and actor match,7.1,6125
Taco Chronicles,2019,Social & Cultural Documentaries,Pablo Cruz,10242848,tv series,year and title match,7.9,456
MILF,2018,International Films,"Virginie Ledoyen,Marie-Josée Croze,Axelle Laffont",7205316,movie,year and actor match,4.7,3111
Russian Doll,2019,Award-winning TV Programmes,"Natasha Lyonne,Charlie Barnett,Yul Vazquez",7520794,tv series,year and actor match,7.9,61179
"Rob Schneider: Asian Momma, Mexican Kids",2020,Stand-up & Chat Shows,Rob Schneider,12724632,movie,year and actor match,5.3,271
Coffee & Kareem,2020,Comedies,"Ed Helms,Taraji P. Henson,Terrence Little Gardenhigh",9898858,movie,year and actor match,5.1,10462
Selling Sunset,2019,Reality TV,,9817298,tv series,year match,6,2158
The Frankenstein Chronicles,2015,Mystery Programmes,"Sean Bean,Tom Ward,Richie Campbell",4206804,tv series,year and actor match,7.3,9177
The Road to Love,2019,TV Soaps,"Katherine Escobar Farfan,Juan Manuel Restrepo,César Mora",10348478,tv series,year and actor match,8.7,82
Black Mirror,2011,Cyberpunk,"Jesse Plemons,Cristin Milioti,Jimmi Simpson",2085059,tv series,year and actor match,8.8,413768
Sing On! Spain,2020,Reality TV,Ricky Merino,11698668,tv series,year and actor match,6.9,54
Surviving Escobar - Alias JJ,2017,Spanish-language TV Programmes,"Juan Pablo Urrego,Amparo Grisales,Nicole Santamaría",6809396,tv series,year and actor match,7.9,794
Richie Rich,2015,Kids' TV for ages 8 to 10,"Jake Brennan,Joshua Carlon,Lauren Taylor",4160920,tv series,year and actor match,3.2,768
Tiny Creatures,2020,Action & Adventure Programmes,Mike Colter,12759334,tv series,year and title match,4.3,448
The Neighbor,2019,Comedy Programmes,"Quim Gutiérrez,Clara Lago,Adrián Pino",9731222,tv series,year and actor match,6.5,1287
DJ Cinderella,2019,Teen Romance,"Maisa Silva,Filipe Bragança,Fernanda Paes Leme",8716800,movie,year and actor match,4.4,538
A Series of Unfortunate Events,2017,Kids' TV for ages 11 to 12,"Neil Patrick Harris,Patrick Warburton,Malina Weissman",4834206,tv series,year and actor match,7.8,51758
BoJack Horseman,2014,Award-winning TV Programmes,"Will Arnett,Aaron Paul,Amy Sedaris",3398228,tv series,year and actor match,8.7,101727
Cocaine Coast,2018,International Programmes,"Javier Rey,Tristán Ulloa,Antonio Durán 'Morris'",6970710,tv series,year and actor match,8,2722
Como caído del cielo,2019,International Films,"Omar Chaparro,Ana Claudia Talancón,Stephanie Cayo",10946934,movie,year and actor match,6.3,1051
Grace and Frankie,2015,LGBTQ TV Programmes,"Jane Fonda,Lily Tomlin,Martin Sheen",3609352,tv series,year and actor match,8.3,36750
Bert Kreischer: Secret Time,2018,Stand-up & Chat Shows,Bert Kreischer,8786466,movie,year and actor match,7.4,1782
Hyperdrive,2019,Reality TV,"Michael Bisping,Lindsay Czarniak,Mike Hill",8911552,tv series,year and actor match,8.1,2046
Super Drags,2018,Brazilian TV Programmes,"Fernando Mendonça,Sérgio Cantú,Wagner Follare",8912244,tv series,year and actor match,5.5,1300
The Package,2018,Teen Comedies,"Daniel Doheny,Geraldine Viswanathan,Luke Spencer Roberts",7525778,movie,year and actor match,5.5,13263
Fatal Affair,2020,Thrillers,"Nia Long,Omar Epps,Stephen Bishop",11057594,movie,year and actor match,4.4,3586
Transformers: War For Cybertron Trilogy,2020,Anime Sci-Fi,"Jake Foushee,Jason Marnocha,Linsay Rousseau",9789660,tv series,year and actor match,7.6,1459
Unorthodox,2020,Drama Programmes,"Shira Haas,Amit Rahav,Jeff Wilbusch",9815454,tv mini series,year and actor match,8,44095
Hasmukh,2020,Crime TV Dramas,"Vir Das,Ranvir Shorey,Manoj Pahwa",9359294,tv mini series,year and actor match,5.3,2189
The Hockey Girls,2019,Teen Programmes,"Iria del Río,Nora Navas,Josep Linuesa",9486226,tv series,year and actor match,7.1,267
Cooked with Cannabis,2020,Reality TV,"Kelis,Leather Storrs",12176398,tv series,year and actor match,6.7,203
Wine Country,2019,Comedies,"Amy Poehler,Maya Rudolph,Ana Gasteyer",8169446,movie,year and actor match,5.4,17687
"Sex, Explained",2020,Social & Cultural Documentaries,Janelle Monáe,11390530,tv series,year and actor match,6.9,1918
Safe,2018,Mystery Programmes,"Michael C. Hall,Amanda Abbington,Marc Warren",7902072,tv series,year and actor match,7.3,29017
The Twelve,2019,International Programmes,"Maaike Neuville,Charlotte De Bruyne,Tom Vermeir",7605396,tv series,year and actor match,7.5,2335
Frontier,2016,Canadian TV Programmes,"Jason Momoa,Landon Liboiron,Alun Armstrong",4686698,tv series,year and actor match,7.2,15873
Dumplin',2018,Comedies,"Danielle Macdonald,Jennifer Aniston,Odeya Rush",4878482,movie,year and actor match,6.6,26970
The Great British Baking Show,2010,Award-winning TV Programmes,"Paul Hollywood,Prue Leith,Sandi Toksvig",1877368,tv series,year and actor match,8.6,5283
The Queen and the Conqueror,2020,TV Soaps,"Essined Aponte,Emmanuel Esparza,Kepa Amuchastegui",10348700,tv series,year and actor match,7.2,75
The Letter for the King,2020,Action & Adventure Programmes,"Amir Wilson,Ruby Ashbourne Serkis,Thaddea Graham",8741648,tv series,year and actor match,5.9,5350
Sex Education,2019,LGBTQ TV Programmes,"Asa Butterfield,Gillian Anderson,Ncuti Gatwa",7767422,tv series,year and actor match,8.3,140162
I AM A KILLER,2018,True Crime Documentaries,,8300324,tv series,year match,7.5,2706
It's Okay to Not Be Okay,2020,Korean Programmes,"Kim Soo-hyun,Seo Yea-ji,Oh Jung-se",12451520,tv series,year and actor match,9.2,2675
Self Made: Inspired by the Life of Madam C.J. Walker,2020,Drama Programmes,"Octavia Spencer,Tiffany Haddish,Carmen Ejogo",8771910,tv mini series,year and actor match,7.3,7314
Terrace House: Tokyo 2019-2020,2019,Reality TV,"You,Reina Triendl,Yoshimi Tokui",10686814,tv series,year and title match,7.6,470
Sugar Rush Christmas,2019,Reality TV,"Hunter March,Candace Nelson,Adriano Zumbo",11168116,tv series,year and actor match,6.8,222
The Final Table,2018,Award-winning TV Programmes,Andrew Knowlton,7619858,tv series,year and actor match,7.7,2811
The Big Show Show,2020,Kids' TV for ages 8 to 10,"Paul Wight,Allison Munn,Reylynn Caster",10726356,tv series,year and actor match,6.4,1632
Next Gen,2018,Comedies,"John Krasinski,Charlyne Yi,Jason Sudeikis",7133686,movie,year and actor match,6.6,13299
Babylon Berlin,2017,TV Programmes Based on Books,"Volker Bruch,Liv Lisa Fries,Peter Kurth",4378376,tv series,year and actor match,8.4,16551
